month,vip_asset,total_asset,ratio
2025-06-03,661255297706.534,1514605008024.08,0.4365859
2025-07-01,452963258255.36,1050197699870.342,0.4313123
2025-08-01,469661045255.701,1057775439504.352,0.4440082
2025-09-01,517031975704.223,1123405668898.217,0.4602362
